"","Rsquare","N_barcodes","N_sensors"
"Aerobic_M9",0.972707743953052,549,67
"Aerobic_M9_Cit_50mM",0.83175346671659,436,66
"Aerobic_M9_Epi_50uM",0.835047926563059,554,66
"Aerobic_M9_Fum_20mM",0.920507809976407,393,65
"Aerobic_M9_LimK",0.976359718982349,551,67
"Aerobic_M9_Nit_2mM",0.972304973337875,543,66
"Aerobic_M9_Tet_100uM",0.932565979419138,552,66
"Aerobic_M9_Tet_10uM",0.984807941495272,550,66
"Aerobic_M9_Tet_1uM",0.588818521054136,398,62
"Anaerobic_M9",0.98885779390295,551,67
"Anaerobic_M9_Cit_50mM",0.961678138846785,549,66
"Anaerobic_M9_Fum_20mM",0.99068564817867,554,67
"Anaerobic_M9_HOCl",0.406956920398542,270,59
"Anaerobic_M9_LimK",0.976780747985467,533,66
"Anaerobic_M9_LimPO",0.963568618517627,547,66
"Anaerobic_M9_NaCl",0.869756114798917,547,66
"Anaerobic_M9_Nit_20mM",0.976721941366527,549,67
"Anaerobic_M9_Nit_2mM",0.924694325728851,539,66
"Anaerobic_M9_pH5",0.992448338679444,539,67
"Anaerobic_M9_Sucrose",0.787646981813398,551,66
"Anaerobic_M9_Tet_100uM",0.981636795899098,547,67
"Anaerobic_M9_Tet_10uM",0.98334118502215,554,67
"Anaerobic_M9_Tet_1uM",0.978846006626002,552,66
"Anaerobic_SOC",0.936973824395444,518,67
"D11_G1M0",0.579828633617301,527,64
"D11_G1M1",0.168768770157115,425,64
"D11_G1M2",0.765657234537965,547,65
"D11_G1M3",0.117893004576866,276,55
"D11_G2M0",0.879505440411942,564,66
"D11_G2M1",0.864940543546172,552,66
"D11_G2M2",0.93209685490531,554,66
"D11_G2M3",0.8288355049068,309,56
"D11_G3M0",0.936429765165875,561,66
"D11_G3M1",0.899574725540332,561,66
"D11_G3M2",0.878071775953269,556,66
"D11_G3M3",0.943866170052235,561,67
"D11_G4M0",0.857639921759316,554,66
"D11_G4M1",0.807642016853794,537,66
"D11_G4M2",0.864062062344781,555,66
"D11_G4M3",0.666042851612356,460,65
"D12_G1M2",0.319561552408459,107,40
"D12_G2M0",0.946834661825015,562,66
"D12_G2M1",0.957448790662753,554,66
"D12_G2M2",0.957255952192592,559,66
"D12_G2M3",0.972340997917489,558,66
"D12_G3M0",0.81476988976611,401,64
"D12_G3M1",0.852643024157109,506,65
"D12_G3M3",0.928064903753698,544,66
"D12_G4M0",0.963744108394454,543,66
"D12_G4M1",0.919563090792436,538,65
"D12_G4M2",0.870330718280323,501,65
"D12_G4M3",0.945678857624358,536,66
"Gavage",0.997074484763501,560,66
